sale_start,overall_sale_shows,revenue
2023-08-24 00:00:00,1139700,154965
2023-06-16 00:00:00,511964,111390
2024-07-16 17:00:01,948169,98570
2023-07-07 00:00:00,487812,95275
2023-05-27 00:00:00,534218,93885
2024-06-13 10:30:01,671516,91555
2024-07-03 16:35:01,701890,88650
2024-08-08 16:15:01,766771,86755
2023-07-28 00:00:00,448969,83450
2024-03-07 00:00:00,376724,72960
2023-11-23 00:00:00,338780,68015
2023-06-26 00:00:00,199102,66160
2024-02-22 00:00:00,326114,65105
2023-09-15 00:00:00,518130,60610
2024-01-19 00:00:00,416832,58585
2023-10-27 00:00:00,627043,56695
2024-04-26 00:00:00,350166,53505
2024-05-24 00:00:00,365522,51975
2023-09-28 00:00:00,322375,49780
2023-10-13 00:00:00,413749,48400
2024-03-29 00:00:00,285246,46960
2024-05-17 00:00:00,319904,45735
2024-04-12 00:00:00,280486,42835
2023-12-22 00:00:00,217017,42760
2023-08-11 00:00:00,493730,42535
2023-02-13 00:00:00,172546,42235
2023-12-29 00:00:00,274549,42035
2024-06-27 10:30:01,126372,39355
2024-02-13 00:00:00,284027,39100
2023-04-21 00:00:00,94991,34840
2023-02-23 00:00:00,132117,33730
2023-07-15 00:00:00,84424,29130
2023-11-17 00:00:00,226686,27505
2023-01-01 00:00:00,30513,25770
2023-03-25 00:00:00,41178,21820
2023-03-11 00:00:00,33281,15930
2023-01-28 00:00:00,26056,12500