overall_sale_shows,revenue
1139700,154965
511964,111390
948169,98570
487812,95275
534218,93885
671516,91555
701890,88650
766771,86755
448969,83450
376724,72960
338780,68015
199102,66160
326114,65105
518130,60610
416832,58585
627043,56695
350166,53505
365522,51975
322375,49780
413749,48400
285246,46960
319904,45735
280486,42835
217017,42760
493730,42535
172546,42235
274549,42035
126372,39355
284027,39100
94991,34840
132117,33730
84424,29130
226686,27505
30513,25770
41178,21820
33281,15930
26056,12500